timestamp,fav_number,sibling_number,wake_up_time,fav_season,pets,dominant_hand,birth_month,height,risk_pref,study_sound
2/9/2026 15:23:48,7,1,7 am,Winter,No Pets,Right,December,64,A 50% chance to win $24,Music with lyrics
2/9/2026 15:37:19,2,1,9 am,Summer,Pets,Right,April,68,A sure $10,Instrumental music
2/9/2026 15:56:18,2,1,11 am,Summer,No Pets,Right,May,63,A sure $10,Instrumental music
2/9/2026 16:21:27,8,1,10 am,Summer,Pets,Right,February,68,A 50% chance to win $24,No music
2/9/2026 18:41:24,5,1,10 am,Spring,Pets,Right,February,59,A 50% chance to win $24,Instrumental music
2/9/2026 19:27:47,2,4,10 am,Winter,Pets,Left,September,69,A sure $10,Instrumental music
2/9/2026 19:49:10,7,0,9 am,Fall,Pets,Right,June,64,A 50% chance to win $24,"Ambient noise  (background sound, white noise)"
2/9/2026 23:53:31,7,1,12 pm,Winter,Pets,Right,June,64,A 50% chance to win $24,Instrumental music
2/10/2026 9:08:34,5,2,9 am,Spring,Pets,Right,April,64,A sure $10,Music with lyrics
2/10/2026 11:23:25,4,1,11 am,Fall,Pets,Right,May,62,A sure $10,Music with lyrics
2/10/2026 11:52:18,2,1,8 am,Fall,Pets,Right,June,70,A 50% chance to win $24,Music with lyrics
2/10/2026 13:58:54,10,4,9 am,Summer,Pets,Right,June,67,A sure $10,No music
2/10/2026 16:13:49,8,5,8 am,Spring,Pets,Left,July,67,A sure $10,"Ambient noise  (background sound, white noise)"
2/10/2026 17:42:32,4,1,6 am,Fall,Pets,Right,September,65,A sure $10,No music
2/10/2026 18:07:17,8,3,8 am,Winter,Pets,Right,July,71,A sure $10,Music with lyrics
2/10/2026 18:44:30,2,2,8 am,Winter,Pets,Right,April,64,A sure $10,Music with lyrics
2/10/2026 19:02:49,7,2,11 am,Summer,Pets,Right,August,62,A sure $10,"Ambient noise  (background sound, white noise)"
2/10/2026 21:11:38,8,3,10 am,Fall,Pets,Right,October,63,A sure $10,Music with lyrics
2/10/2026 23:41:52,8,2,9 am,Spring,Pets,Right,August,62,A sure $10,Music with lyrics
2/11/2026 7:53:00,4,1,6 am,Winter,Pets,Right,August,72,A sure $10,Music with lyrics
